article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc
192460006,192460,Knit dress,265,Dress,Garment Full body,1010016,Solid,8,Dark Grey,4,Dark,12,Grey,5963,Tops Knitwear DS,D,Divided,2,Divided,58,Divided Selected,1003,Knitwear,"Short, fine-knit dress with a hood, waterfall neckline and long sleeves. Unlined."
202017055,202017,Rihanna dress,265,Dress,Garment Full body,1010017,Stripe,10,White,3,Light,9,White,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,Short-sleeved dress in slub jersey with an elasticated waist and side pockets.
212629004,212629,Alcazar strap dress,265,Dress,Garment Full body,1010016,Solid,9,Black,4,Dark,5,Black,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,"Long, sleeveless dress in jersey with narrow shoulder straps and an elasticated seam at the waist. Unlined."
212629031,212629,Alcazar strap dress,265,Dress,Garment Full body,1010016,Solid,93,Dark Green,4,Dark,19,Green,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,"Long, sleeveless dress in jersey with narrow shoulder straps and an elasticated seam at the waist. Unlined."
212629032,212629,Alcazar strap dress,265,Dress,Garment Full body,1010016,Solid,53,Dark Pink,4,Dark,18,Red,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,"Long, sleeveless dress in jersey with narrow shoulder straps and an elasticated seam at the waist. Unlined."
212629033,212629,Alcazar strap dress,265,Dress,Garment Full body,1010017,Stripe,10,White,3,Light,9,White,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,"Long, sleeveless dress in jersey with narrow shoulder straps and an elasticated seam at the waist. Unlined."
212629035,212629,Alcazar strap dress,265,Dress,Garment Full body,1010016,Solid,42,Red,7,Medium,18,Red,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,"Long, sleeveless dress in jersey with narrow shoulder straps and an elasticated seam at the waist. Unlined."
212629036,212629,Alcazar strap dress,265,Dress,Garment Full body,1010016,Solid,19,Greenish Khaki,2,Medium Dusty,20,Khaki green,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,"Long, sleeveless dress in jersey with narrow shoulder straps and an elasticated seam at the waist. Unlined."
212629040,212629,Alcazar strap dress,265,Dress,Garment Full body,1010016,Solid,43,Dark Red,4,Dark,4,Pink,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,"Long, sleeveless dress in jersey with narrow shoulder straps and an elasticated seam at the waist. Unlined."
212629043,212629,Alcazar strap dress,265,Dress,Garment Full body,1010016,Solid,42,Red,7,Medium,18,Red,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,"Long, sleeveless dress in jersey with narrow shoulder straps and an elasticated seam at the waist. Unlined."
